CI,source_file,status,rows_total,rows_complete,rows_inside_domain,inside_ratio_complete,inside_ratio_raw,environment_observed_grids,environment_grid_coverage,observed_building_grids,observed_building_fraction,environment_label_conflict_grids,environment_label_conflict_fraction,building_fraction,measured_outdoor_rows,candidate_target_grids,candidate_target_grid_coverage,excluded_target_on_building_grids,excluded_target_on_building_fraction,measured_outdoor_grids,measured_grid_coverage,multi_measurement_target_grids,multi_measurement_target_fraction,target_on_building_grids,target_on_building_fraction,rsp_dbm,gain_db_min,gain_db_max,gain_below_source_range_grids,gain_above_source_range_grids,gain_outside_source_range_fraction
1879201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1140,1140,1140,1.0,1.0,917,0.2865625,179,0.19520174482006544,49,0.05343511450381679,0.17906250059604645,936,787,0.2459375,49,0.062261753494282084,738,0.230625,131,0.17750677506775067,0,0.0,9.2,-140.2,-80.2,0,0,0.0
1248001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1915,1915,1915,1.0,1.0,1135,0.3546875,206,0.1814977973568282,127,0.11189427312775331,0.20250000059604645,1671,1056,0.33,127,0.12026515151515152,929,0.2903125,388,0.4176533907427341,0,0.0,14.2,-133.7,-81.7,0,0,0.0
130401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1178,1178,1177,0.9991511035653651,0.9991511035653651,860,0.26875,303,0.35232558139534886,85,0.09883720930232558,0.7128124833106995,831,642,0.200625,85,0.13239875389408098,557,0.1740625,156,0.2800718132854578,0,0.0,9.2,-120.2,-82.87,0,0,0.0
2491901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,921,921,921,1.0,1.0,764,0.23875,160,0.2094240837696335,46,0.060209424083769635,0.10750000178813934,739,650,0.203125,46,0.07076923076923076,604,0.18875,79,0.13079470198675497,0,0.0,9.2,-122.2,-71.2,0,0,0.0
2344601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1314,1314,1314,1.0,1.0,1046,0.326875,114,0.1089866156787763,0,0.0,0.21187500655651093,1192,932,0.29125,0,0.0,932,0.29125,230,0.24678111587982832,0,0.0,10.2,-121.53,-69.45,0,0,0.0
2285101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1174,1174,1174,1.0,1.0,1033,0.3228125,434,0.42013552758954503,33,0.031945788964181994,0.4334374964237213,696,632,0.1975,33,0.05221518987341772,599,0.1871875,63,0.10517529215358931,0,0.0,9.2,-122.2,-74.73,0,0,0.0
1454101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2419,2419,2419,1.0,1.0,1752,0.5475,397,0.22659817351598174,163,0.0930365296803653,0.21406249701976776,1972,1518,0.474375,163,0.10737812911725955,1355,0.4234375,357,0.26346863468634685,0,0.0,9.2,-123.7,-74.2,0,0,0.0
583401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,680,680,680,1.0,1.0,634,0.198125,131,0.20662460567823343,14,0.022082018927444796,0.44968751072883606,543,517,0.1615625,14,0.027079303675048357,503,0.1571875,26,0.05168986083499006,0,0.0,11.2,-129.2,-74.64,0,0,0.0
167001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1349,1349,1349,1.0,1.0,1174,0.366875,216,0.1839863713798978,14,0.01192504258943782,0.36531248688697815,1109,972,0.30375,14,0.01440329218106996,958,0.299375,127,0.1325678496868476,0,0.0,15.2,-128.2,-83.14500000000001,0,0,0.0
1379101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1238,1238,1238,1.0,1.0,990,0.309375,618,0.6242424242424243,109,0.1101010101010101,0.5690624713897705,533,481,0.1503125,109,0.22661122661122662,372,0.11625,41,0.11021505376344086,0,0.0,10.2,-127.7,-76.95,0,0,0.0
2695101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1230,1230,1230,1.0,1.0,883,0.2759375,437,0.49490373725934317,88,0.09966024915062288,0.3634375035762787,705,534,0.166875,88,0.1647940074906367,446,0.139375,128,0.28699551569506726,0,0.0,9.2,-132.7,-77.53,0,0,0.0
1268201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1650,1650,1650,1.0,1.0,1318,0.411875,480,0.36418816388467373,82,0.0622154779969651,0.34593749046325684,1122,920,0.2875,82,0.0891304347826087,838,0.261875,174,0.20763723150357996,0,0.0,9.2,-130.7,-82.2,0,0,0.0
568001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1443,1443,1443,1.0,1.0,1136,0.355,576,0.5070422535211268,112,0.09859154929577464,0.44968751072883606,773,672,0.21,112,0.16666666666666666,560,0.175,79,0.14107142857142857,0,0.0,9.2,-135.7,-78.2,0,0,0.0
1257601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1176,1176,1176,1.0,1.0,826,0.258125,420,0.5084745762711864,104,0.12590799031476999,0.6015625,650,510,0.159375,104,0.20392156862745098,406,0.126875,103,0.2536945812807882,0,0.0,16.2,-129.7,-79.2,0,0,0.0
2156501,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,968,968,968,1.0,1.0,869,0.2715625,204,0.23475258918296893,14,0.01611047180667434,0.3643749952316284,750,679,0.2121875,14,0.020618556701030927,665,0.2078125,71,0.10676691729323308,0,0.0,11.2,-134.7,-78.7,0,0,0.0
314001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,734,734,734,1.0,1.0,631,0.1971875,4,0.006339144215530904,0,0.0,0.13968749344348907,730,627,0.1959375,0,0.0,627,0.1959375,99,0.15789473684210525,0,0.0,14.2,-150.2,-78.7,1,0,0.001594896331738437
2334001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1512,1512,1512,1.0,1.0,1096,0.3425,462,0.4215328467153285,108,0.09854014598540146,0.41718751192092896,959,742,0.231875,108,0.14555256064690028,634,0.198125,164,0.2586750788643533,0,0.0,16.2,-133.7,-69.2,0,0,0.0
340501,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2455,2455,2453,0.9991853360488798,0.9991853360488798,1456,0.455,163,0.11195054945054946,61,0.04189560439560439,0.14249999821186066,2274,1354,0.423125,61,0.045051698670605614,1293,0.4040625,743,0.5746326372776489,0,0.0,13.2,-129.2,-80.7,0,0,0.0
252501,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1709,1709,1709,1.0,1.0,1286,0.401875,401,0.3118195956454121,146,0.11353032659409021,0.41468751430511475,1237,1031,0.3221875,146,0.14161008729388944,885,0.2765625,155,0.1751412429378531,0,0.0,13.2,-128.2,-76.69,0,0,0.0
1323701,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1242,1242,1242,1.0,1.0,1009,0.3153125,283,0.2804757185332012,31,0.030723488602576808,0.23281249403953552,944,757,0.2365625,31,0.04095112285336856,726,0.226875,164,0.22589531680440772,0,0.0,13.2,-116.2,-74.2,0,0,0.0
2218201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1364,1364,1364,1.0,1.0,1122,0.350625,626,0.5579322638146168,112,0.09982174688057041,0.7203124761581421,666,608,0.19,112,0.18421052631578946,496,0.155,55,0.11088709677419355,0,0.0,9.2,-129.2,-79.37,0,0,0.0
2373201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2114,2114,2114,1.0,1.0,1667,0.5209375,756,0.45350929814037194,92,0.055188962207558485,0.44968751072883606,1236,1003,0.3134375,92,0.09172482552342971,911,0.2846875,196,0.21514818880351264,0,0.0,6.2,-122.53,-69.2,0,0,0.0
1533301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1213,1213,1213,1.0,1.0,938,0.293125,610,0.650319829424307,111,0.11833688699360341,0.3178125023841858,488,439,0.1371875,111,0.2528473804100228,328,0.1025,39,0.11890243902439024,0,0.0,12.2,-126.7,-79.87,0,0,0.0
380901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1453,1453,1453,1.0,1.0,1075,0.3359375,298,0.2772093023255814,139,0.12930232558139534,0.1681250035762787,1127,916,0.28625,139,0.1517467248908297,777,0.2428125,156,0.20077220077220076,0,0.0,15.2,-147.2,-77.2,2,0,0.002574002574002574
1743301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1239,1239,1239,1.0,1.0,1034,0.323125,530,0.5125725338491296,66,0.06382978723404255,0.45781248807907104,650,570,0.178125,66,0.11578947368421053,504,0.1575,66,0.13095238095238096,0,0.0,9.2,-124.73,-79.2,0,0,0.0
1276701,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2392,2392,2392,1.0,1.0,1590,0.496875,771,0.4849056603773585,260,0.16352201257861634,0.43062499165534973,1411,1079,0.3371875,260,0.24096385542168675,819,0.2559375,233,0.2844932844932845,0,0.0,13.2,-132.2,-81.88000000000001,0,0,0.0
2943101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1019,1019,1019,1.0,1.0,955,0.2984375,256,0.2680628272251309,16,0.016753926701570682,0.3465625047683716,749,715,0.2234375,16,0.022377622377622378,699,0.2184375,34,0.04864091559370529,0,0.0,9.2,-130.2,-71.2,0,0,0.0
516801,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,889,889,889,1.0,1.0,612,0.19125,288,0.47058823529411764,80,0.13071895424836602,0.27031248807907104,528,404,0.12625,80,0.19801980198019803,324,0.10125,77,0.23765432098765432,0,0.0,9.2,-127.53,-83.2,0,0,0.0
159201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1227,1227,1227,1.0,1.0,892,0.27875,373,0.41816143497757846,87,0.09753363228699552,0.40312498807907104,785,606,0.189375,87,0.14356435643564355,519,0.1621875,122,0.2350674373795761,0,0.0,14.2,-134.7,-92.57000000000001,0,0,0.0
309401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2065,2065,2065,1.0,1.0,1302,0.406875,967,0.7427035330261137,213,0.16359447004608296,0.515625,676,548,0.17125,213,0.3886861313868613,335,0.1046875,84,0.2507462686567164,0,0.0,12.2,-120.2,-76.7,0,0,0.0
1632201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,838,838,838,1.0,1.0,583,0.1821875,214,0.3670668953687822,75,0.12864493996569468,0.23218749463558197,606,444,0.13875,75,0.16891891891891891,369,0.1153125,132,0.35772357723577236,0,0.0,12.2,-135.7,-79.31,0,0,0.0
2343601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1772,1772,1772,1.0,1.0,1110,0.346875,586,0.527927927927928,213,0.1918918918918919,0.550000011920929,1037,737,0.2303125,213,0.28900949796472186,524,0.16375,211,0.4026717557251908,0,0.0,9.2,-120.7,-74.95,0,0,0.0
2914301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1491,1491,1491,1.0,1.0,1214,0.379375,244,0.20098846787479407,40,0.032948929159802305,0.27000001072883606,1223,1010,0.315625,40,0.039603960396039604,970,0.303125,176,0.18144329896907216,0,0.0,9.2,-124.7,-78.2,0,0,0.0
2523101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,744,744,744,1.0,1.0,584,0.1825,195,0.3339041095890411,45,0.07705479452054795,0.3540624976158142,517,434,0.135625,45,0.10368663594470046,389,0.1215625,72,0.18508997429305912,0,0.0,12.2,-132.57999999999998,-81.2,0,0,0.0
1769001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1532,1532,1532,1.0,1.0,1243,0.3884375,432,0.3475462590506838,81,0.06516492357200322,0.4156250059604645,1051,892,0.27875,81,0.09080717488789238,811,0.2534375,144,0.17755856966707767,0,0.0,9.2,-130.7,-74.2,0,0,0.0
3273801,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,863,863,863,1.0,1.0,722,0.225625,87,0.12049861495844875,15,0.02077562326869806,0.1365624964237213,773,650,0.203125,15,0.023076923076923078,635,0.1984375,108,0.1700787401574803,0,0.0,9.2,-136.2,-89.7,0,0,0.0
1807901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,424,424,424,1.0,1.0,336,0.105,169,0.5029761904761905,31,0.09226190476190477,0.5368750095367432,232,198,0.061875,31,0.15656565656565657,167,0.0521875,30,0.17964071856287425,0,0.0,14.0,-118.0,-75.61,0,0,0.0
2894101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2603,2603,2603,1.0,1.0,1362,0.425625,689,0.5058737151248165,301,0.2209985315712188,0.40406250953674316,1637,974,0.304375,301,0.30903490759753593,673,0.2103125,382,0.5676077265973254,0,0.0,9.2,-140.2,-79.605,0,0,0.0
1243601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1462,1462,1461,0.9993160054719562,0.9993160054719562,1017,0.3178125,318,0.31268436578171094,155,0.15240904621435594,0.30562499165534973,1088,854,0.266875,155,0.18149882903981265,699,0.2184375,165,0.23605150214592274,0,0.0,9.2,-119.2,-72.53,0,0,0.0
2823001,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1686,1686,1686,1.0,1.0,1217,0.3803125,245,0.20131470829909615,88,0.07230895645028759,0.2915624976158142,1391,1060,0.33125,88,0.0830188679245283,972,0.30375,267,0.27469135802469136,0,0.0,9.2,-128.7,-75.2,0,0,0.0
257901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2693,2693,2693,1.0,1.0,1556,0.48625,770,0.4948586118251928,373,0.2397172236503856,0.4749999940395355,1623,1159,0.3621875,373,0.32182916307161347,786,0.245625,274,0.3486005089058524,0,0.0,9.2,-125.53,-74.2,0,0,0.0
1831701,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1337,1337,1337,1.0,1.0,847,0.2646875,456,0.538370720188902,165,0.19480519480519481,0.3100000023841858,759,556,0.17375,165,0.29676258992805754,391,0.1221875,141,0.36061381074168797,0,0.0,13.2,-133.265,-79.85333333333334,0,0,0.0
2426301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2577,2577,2577,1.0,1.0,1486,0.464375,314,0.21130551816958276,203,0.13660834454912515,0.27812498807907104,2227,1375,0.4296875,203,0.14763636363636365,1172,0.36625,535,0.4564846416382253,0,0.0,9.2,-114.95,-82.405,0,0,0.0
2860401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1898,1898,1898,1.0,1.0,1456,0.455,178,0.12225274725274725,12,0.008241758241758242,0.3203125,1713,1290,0.403125,12,0.009302325581395349,1278,0.399375,406,0.31768388106416273,0,0.0,9.2,-121.8,-73.7,0,0,0.0
119801,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1224,1224,1224,1.0,1.0,952,0.2975,242,0.2542016806722689,33,0.03466386554621849,0.24843749403953552,950,743,0.2321875,33,0.04441453566621804,710,0.221875,164,0.23098591549295774,0,0.0,9.2,-121.2,-80.89,0,0,0.0
1347901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,619,619,619,1.0,1.0,552,0.1725,89,0.161231884057971,1,0.0018115942028985507,0.16312499344348907,522,464,0.145,1,0.0021551724137931034,463,0.1446875,53,0.11447084233261338,0,0.0,9.2,-124.2,-87.2,0,0,0.0
339301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,265,265,265,1.0,1.0,209,0.0653125,82,0.3923444976076555,17,0.08133971291866028,0.4831250011920929,172,144,0.045,17,0.11805555555555555,127,0.0396875,21,0.16535433070866143,0,0.0,12.2,-124.87,-84.2,0,0,0.0
3190801,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2124,2124,2124,1.0,1.0,1526,0.476875,132,0.08650065530799476,33,0.02162516382699869,0.171875,1990,1427,0.4459375,33,0.023125437981779958,1394,0.435625,537,0.38522238163558103,0,0.0,9.2,-131.0,-72.4,0,0,0.0
1235101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2019,2019,2019,1.0,1.0,1373,0.4290625,677,0.49308084486525855,229,0.16678805535324107,0.4831250011920929,1150,925,0.2890625,229,0.24756756756756756,696,0.2175,158,0.22701149425287356,0,0.0,9.2,-131.2,-76.98,0,0,0.0
1254901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1799,1799,1799,1.0,1.0,1117,0.3490625,581,0.5201432408236347,193,0.1727842435094002,0.6268749833106995,1014,729,0.2278125,193,0.26474622770919065,536,0.1675,179,0.333955223880597,0,0.0,11.2,-123.2,-81.53,0,0,0.0
1934101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1196,1196,1196,1.0,1.0,809,0.2528125,279,0.34487021013597036,75,0.09270704573547589,0.2709375023841858,861,605,0.1890625,75,0.12396694214876033,530,0.165625,242,0.45660377358490567,0,0.0,11.2,-129.45,-88.7,0,0,0.0
1009601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,916,916,913,0.9967248908296943,0.9967248908296943,744,0.2325,224,0.3010752688172043,0,0.0,0.4650000035762787,663,520,0.1625,0,0.0,520,0.1625,118,0.22692307692307692,0,0.0,4.2,-125.2,-78.2,0,0,0.0
2302801,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,596,596,596,1.0,1.0,575,0.1796875,38,0.06608695652173913,4,0.006956521739130435,0.11468750238418579,556,541,0.1690625,4,0.0073937153419593345,537,0.1678125,15,0.027932960893854747,0,0.0,9.2,-126.7,-85.2,0,0,0.0
1388401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1405,1405,1405,1.0,1.0,1016,0.3175,761,0.7490157480314961,133,0.1309055118110236,0.7574999928474426,459,388,0.12125,133,0.3427835051546392,255,0.0796875,51,0.2,0,0.0,12.2,-127.2,-78.87,0,0,0.0
2290301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,959,959,959,1.0,1.0,732,0.22875,13,0.017759562841530054,3,0.004098360655737705,0.005937499925494194,946,722,0.225625,3,0.004155124653739612,719,0.2246875,192,0.2670375521557719,0,0.0,16.2,-130.2,-87.2,0,0,0.0
